Tract,Population,Households,Is_DAC,Vulnerability_Percentile,Pollution_Score,Hazardprox_Score,Cumulative_Burden_Score,Weighted_Burden,Weighted_Burden_Norm
36005020501,7271.0,2701.0,1,99.87,76.33333333333333,78.2,84.80111111111111,616588.8788888889,0.4698269488461607
36005020502,2605.0,1048.0,1,99.57,76.16666666666667,74.4,83.37888888888888,217202.00555555554,0.1655030751403201
36005020601,2528.0,990.0,1,93.75,74.83333333333333,72.8,80.46111111111111,203405.6888888889,0.1549905901008624
36005020900,4867.0,1965.0,1,97.12,76.16666666666667,78.0,83.76222222222223,407670.7355555556,0.31063599162717276
36005021001,7895.0,3562.0,1,95.52,75.16666666666667,76.6,82.42888888888888,650776.0777777777,0.4958768305315193
36005021002,7925.0,3182.0,0,86.5,74.83333333333333,76.4,79.24444444444445,628012.2222222222,0.4785312812265851
36005021100,6268.0,1997.0,1,99.62,76.5,77.2,84.44,529269.92,0.4032918532000669
36005021200,4975.0,2294.0,1,87.31,75.16666666666667,75.2,79.22555555555556,394147.13888888893,0.3003313131341455
36005021301,1323.0,464.0,1,98.29,76.33333333333333,77.4,84.00777777777779,111142.29000000002,0.08468794165177433
36005021302,5947.0,2303.0,1,99.46,76.5,75.2,83.71999999999998,497882.8399999999,0.3793755995430693
36005021501,4665.0,1360.0,1,98.38,76.16666666666667,79.6,84.71555555555555,395198.06666666665,0.3011320966192138
36005021502,6986.0,2239.0,1,99.73,76.16666666666667,78.4,84.76555555555557,592172.1711111112,0.45122196307870116
36005021601,4421.0,1609.0,1,95.77,75.5,75.6,82.29,363804.09,0.2772105878563133
36005021602,6093.0,2361.0,1,81.21000000000001,75.16666666666667,76.2,77.52555555555556,472363.21,0.3599302116856222
36005021700,5371.0,1781.0,1,97.67,76.16666666666667,79.0,84.2788888888889,452661.9122222223,0.3449182629785309
36005021800,6037.0,2198.0,1,96.33,75.5,76.0,82.61,498716.57,0.38001088317446957
36005021900,949.0,384.0,1,97.3,76.33333333333333,81.2,84.94444444444444,80612.27777777778,0.06142475449139178
36005022000,2142.0,650.0,1,99.99,75.83333333333333,74.6,83.47444444444444,178802.26,0.13624332701877367
36005022101,4424.0,1292.0,1,94.85,76.16666666666667,74.6,81.87222222222222,362202.7111111111,0.27599037292368406
36005022102,6143.0,1655.0,1,99.74,76.16666666666667,79.6,85.16888888888889,523192.4844444444,0.3986609830990341
36005022200,3333.0,1066.0,1,99.02,74.66666666666667,74.6,82.7622222222222,275846.48666666663,0.2101888594132225
36005022300,5447.0,2220.0,1,99.07,76.16666666666667,77.2,84.14555555555556,458340.84111111116,0.3492454799036707
36005022401,2640.0,998.0,1,88.82,75.66666666666667,77.8,80.76222222222222,213212.26666666666,0.16246298325245243
36005022403,2998.0,1142.0,1,92.13,75.5,77.4,81.67666666666666,244866.64666666667,0.1865829135369831
36005022404,4795.0,1976.0,1,93.81,75.5,76.0,81.77,392087.14999999997,0.2987616476285533
