Tract,Population,Households,PM25,Ozone,Diesel_PM,NO2,Toxic_Air_Releases,Superfund_Prox,RMP_Prox,HazWaste_Prox,Percent_HHLeadPaint,Traffic_Prox,DW_Noncomp,WW_Discharge,Socioecon_Percentile,HHVuln_Percentile,Minority_Percentile,HouseType_Percentile,cluster,Is_DAC
36047030200,4052.0,1319.0,37.0,67.0,97.0,91.0,44.0,64.0,0.0,84.0,91.0,79.0,93.0,0.0,77.66999999999999,37.39,78.48,84.15,1,0
36047030300,4931.0,2149.0,41.0,71.0,98.0,97.0,41.0,93.0,0.0,93.0,82.0,90.0,93.0,77.0,87.6,86.74,93.85,96.85,0,1
36047030400,4150.0,1597.0,37.0,66.0,97.0,91.0,44.0,63.0,0.0,83.0,70.0,83.0,93.0,0.0,88.41,84.16,76.51,89.79,1,1
36047030500,7457.0,3161.0,45.0,70.0,99.0,99.0,44.0,93.0,0.0,95.0,84.0,91.0,93.0,81.0,40.92,6.7,74.83,99.01,3,0
36047030600,1950.0,668.0,37.0,66.0,98.0,90.0,43.0,62.0,0.0,86.0,83.0,78.0,93.0,0.0,88.13,64.42,73.9,79.25,1,1
36047030700,6297.0,3065.0,42.0,71.0,98.0,97.0,42.0,93.0,0.0,94.0,84.0,90.0,93.0,78.0,92.67,80.07,90.94,82.62,0,1
36047030800,1905.0,730.0,36.0,66.0,98.0,82.0,43.0,61.0,0.0,87.0,64.0,83.0,93.0,0.0,73.22,40.68,68.31,92.29,1,1
36047030900,2671.0,921.0,43.0,71.0,98.0,97.0,42.0,92.0,0.0,94.0,79.0,90.0,93.0,79.0,81.28999999999999,72.28,98.53,85.74000000000001,0,1
36047031100,2825.0,1193.0,44.0,71.0,98.0,98.0,43.0,92.0,0.0,94.0,93.0,90.0,93.0,79.0,73.33,5.36,85.59,90.51,0,1
36047031300,5054.0,2199.0,44.0,71.0,98.0,98.0,43.0,92.0,0.0,95.0,98.0,90.0,93.0,80.0,67.17,48.06,85.82,95.15,0,1
