Tract,Population,Households,PM25,Ozone,Diesel_PM,Toxic_Air_Releases,Percent_HHLeadPaint,Superfund_Prox,RMP_Prox,HazWaste_Prox,WW_Discharge,NO2,DW_Noncomp,Traffic_Prox,Is_DAC,Socioecon_Percentile,HHVuln_Percentile,Minority_Percentile,HouseType_Percentile,Vulnerability_Percentile
36061015501,5084.0,2965.0,54.0,69.0,97.0,50.0,49.0,98.0,35.0,97.0,96.0,98.0,93.0,94.0,0,8.99,5.12,32.73,67.92,16.43
36061015502,5167.0,2876.0,55.0,69.0,97.0,50.0,36.0,99.0,35.0,97.0,96.0,98.0,93.0,94.0,0,35.15,18.48,52.61,62.160000000000004,39.37
36061015601,4879.0,2645.0,54.0,71.0,99.0,41.0,60.0,92.0,0.0,97.0,98.0,96.0,93.0,96.0,0,55.95,2.87,58.540000000000006,95.74000000000001,56.02
36061015602,2212.0,1210.0,54.0,72.0,99.0,41.0,73.0,92.0,0.0,97.0,98.0,96.0,96.0,96.0,1,63.260000000000005,73.6,82.57,57.92,71.50999999999999
36061015700,10352.0,6154.0,54.0,70.0,97.0,49.0,96.0,96.0,34.0,97.0,97.0,96.0,93.0,94.0,0,26.369999999999997,1.26,36.18,96.17,31.790000000000003
36061015801,4899.0,2417.0,54.0,71.0,99.0,42.0,92.0,93.0,28.0,97.0,98.0,97.0,93.0,95.0,0,9.26,7.630000000000001,33.77,95.53,31.72
36061015802,3813.0,1912.0,54.0,71.0,99.0,41.0,64.0,92.0,29.0,97.0,98.0,96.0,93.0,95.0,0,64.78,4.83,54.16,96.37,63.800000000000004
36061015900,9005.0,5103.0,55.0,70.0,96.0,50.0,89.0,98.0,35.0,97.0,97.0,98.0,93.0,95.0,0,9.34,15.68,38.519999999999996,83.26,29.270000000000003
36061016001,2884.0,1374.0,54.0,71.0,99.0,43.0,98.0,94.0,32.0,98.0,98.0,98.0,93.0,95.0,0,5.4399999999999995,4.9799999999999995,35.46,79.64,17.83
36061016002,3250.0,1214.0,54.0,71.0,99.0,41.0,99.0,93.0,32.0,98.0,98.0,96.0,93.0,95.0,0,70.30999999999999,16.36,65.05,78.63,65.19
36061016100,6278.0,3803.0,54.0,70.0,97.0,48.0,99.0,96.0,34.0,97.0,97.0,95.0,93.0,94.0,0,22.08,3.8,38.81,83.24000000000001,28.43
36061016200,9015.0,4659.0,53.0,72.0,99.0,41.0,56.0,91.0,0.0,97.0,99.0,95.0,93.0,97.0,1,92.46,91.75999999999999,92.02,93.5,97.36
36061016300,6989.0,3287.0,55.0,70.0,96.0,50.0,96.0,98.0,35.0,97.0,97.0,98.0,93.0,94.0,0,32.910000000000004,23.169999999999998,38.39,89.38000000000001,49.86
36061016400,7814.0,3488.0,54.0,72.0,99.0,41.0,57.0,92.0,0.0,97.0,98.0,95.0,93.0,96.0,1,90.44,96.81,90.60000000000001,87.87,97.00999999999999
36061016500,7257.0,3244.0,55.0,70.0,97.0,48.0,98.0,97.0,35.0,97.0,97.0,96.0,93.0,94.0,0,19.82,43.88,29.98,83.5,43.34
36061016600,5916.0,2880.0,54.0,71.0,99.0,41.0,86.0,92.0,29.0,97.0,98.0,96.0,93.0,95.0,1,76.95,59.77,83.97,97.7,89.55
36061016700,7196.0,3231.0,55.0,70.0,96.0,49.0,92.0,98.0,35.0,97.0,97.0,97.0,92.0,94.0,0,2.39,17.7,26.640000000000004,54.84,13.41
36061016800,4585.0,1843.0,54.0,71.0,99.0,41.0,78.0,93.0,32.0,97.0,98.0,95.0,93.0,94.0,1,80.27,99.87,87.69,96.3,98.81
36061016900,8010.0,4116.0,55.0,70.0,98.0,49.0,96.0,96.0,35.0,97.0,97.0,97.0,93.0,94.0,0,10.76,23.150000000000002,35.28,95.02000000000001,39.93
36061017000,8558.0,3394.0,54.0,72.0,99.0,41.0,70.0,92.0,0.0,97.0,98.0,95.0,93.0,96.0,1,89.83,90.81,90.53,96.52,97.38
36061017100,9200.0,4171.0,55.0,70.0,96.0,49.0,94.0,98.0,36.0,96.0,97.0,97.0,93.0,94.0,0,8.4,8.23,32.89,93.04,29.360000000000003
36061017200,5325.0,2283.0,55.0,72.0,99.0,41.0,71.0,92.0,32.0,97.0,98.0,96.0,93.0,95.0,1,97.75,45.95,90.32,94.37,94.69
36061017300,8652.0,4265.0,55.0,70.0,99.0,49.0,92.0,96.0,35.0,97.0,97.0,98.0,93.0,94.0,0,36.16,63.190000000000005,53.22,94.91000000000001,68.03
36061017401,5508.0,2158.0,55.0,72.0,99.0,41.0,78.0,93.0,33.0,97.0,98.0,94.0,93.0,95.0,1,79.06,98.26,88.24,95.53,96.82
36061017402,2529.0,1048.0,55.0,71.0,99.0,41.0,12.0,93.0,33.0,97.0,98.0,94.0,93.0,95.0,1,82.19,38.35,83.28,70.52000000000001,76.85
36061017500,10125.0,4485.0,55.0,70.0,96.0,49.0,99.0,98.0,36.0,96.0,97.0,97.0,93.0,93.0,0,8.84,58.220000000000006,51.03,97.53,53.71
36061017700,10451.0,4760.0,55.0,70.0,99.0,45.0,78.0,96.0,35.0,97.0,97.0,98.0,96.0,93.0,0,34.14,83.97,61.019999999999996,88.64,69.85
36061017800,4555.0,1952.0,54.0,72.0,99.0,40.0,92.0,91.0,0.0,97.0,98.0,95.0,93.0,97.0,1,96.22,68.53,85.25,95.15,96.05
36061017900,9953.0,4393.0,56.0,70.0,96.0,48.0,98.0,98.0,36.0,96.0,97.0,98.0,93.0,94.0,0,30.17,29.84,43.62,91.73,52.83
36061018000,6970.0,3111.0,54.0,72.0,99.0,40.0,82.0,91.0,0.0,97.0,98.0,96.0,93.0,96.0,1,95.54,85.49,88.12,94.55,97.42
36061018100,8837.0,4466.0,55.0,70.0,99.0,42.0,71.0,96.0,35.0,97.0,97.0,97.0,93.0,94.0,0,26.479999999999997,59.11,53.93,77.61,52.339999999999996
36061018200,6839.0,3007.0,54.0,72.0,99.0,41.0,81.0,92.0,30.0,97.0,98.0,96.0,93.0,96.0,1,90.59,95.66,91.33,96.33,98.28
36061018300,8724.0,3861.0,56.0,70.0,96.0,47.0,93.0,98.0,36.0,96.0,97.0,98.0,93.0,94.0,0,27.1,19.54,46.21,96.38,52.349999999999994
36061018400,7661.0,3390.0,55.0,71.0,99.0,41.0,44.0,92.0,32.0,97.0,98.0,96.0,93.0,95.0,1,86.89,90.03,92.95,90.55,95.00999999999999
36061018500,5055.0,2786.0,55.0,70.0,99.0,42.0,56.0,96.0,35.0,97.0,97.0,97.0,93.0,94.0,0,3.9600000000000004,18.2,53.73,87.97,30.220000000000002
36061018600,6366.0,2044.0,55.0,71.0,99.0,41.0,90.0,94.0,33.0,97.0,98.0,95.0,93.0,95.0,1,80.67999999999999,88.9,94.23,98.14,96.1
36061018700,10053.0,3619.0,56.0,70.0,97.0,45.0,99.0,98.0,36.0,96.0,97.0,98.0,93.0,94.0,0,25.11,10.24,61.53999999999999,96.17,48.980000000000004
36061018800,4358.0,2251.0,54.0,72.0,99.0,40.0,85.0,91.0,0.0,97.0,98.0,96.0,93.0,96.0,1,94.17,53.779999999999994,88.47,95.66,94.12
36061018900,11169.0,4703.0,55.0,70.0,99.0,42.0,93.0,96.0,35.0,97.0,97.0,96.0,93.0,93.0,1,93.77,98.44000000000001,82.57,93.34,98.72
36061019000,3719.0,1617.0,55.0,71.0,99.0,41.0,47.0,93.0,33.0,97.0,97.0,96.0,93.0,95.0,0,47.14,34.37,84.74000000000001,76.25999999999999,61.150000000000006
36061019100,8533.0,4245.0,56.0,70.0,97.0,43.0,99.0,98.0,36.0,96.0,97.0,98.0,92.0,93.0,0,49.11,39.78,53.32,97.63,71.61999999999999
36061019200,4358.0,1587.0,54.0,72.0,99.0,40.0,76.0,90.0,0.0,97.0,98.0,98.0,93.0,98.0,1,93.72,98.38,94.37,95.65,99.21
36061019300,10654.0,4299.0,55.0,71.0,99.0,42.0,84.0,96.0,35.0,98.0,97.0,95.0,93.0,94.0,1,75.96000000000001,33.379999999999995,78.71000000000001,95.39999999999999,82.44
36061019400,6524.0,2709.0,54.0,72.0,99.0,40.0,66.0,91.0,0.0,98.0,98.0,98.0,93.0,97.0,1,86.86,95.22,90.94,97.74000000000001,98.02
36061019500,7601.0,3358.0,56.0,70.0,99.0,43.0,98.0,98.0,36.0,97.0,97.0,97.0,93.0,93.0,1,42.34,23.369999999999997,64.41,95.65,63.6
36061019600,4211.0,1835.0,55.0,72.0,99.0,40.0,43.0,92.0,32.0,98.0,98.0,97.0,93.0,97.0,1,93.92,96.22,89.84,97.23,99.03999999999999
36061019701,958.0,495.0,56.0,71.0,99.0,41.0,27.0,96.0,35.0,98.0,97.0,98.0,93.0,94.0,0,56.57,2.16,75.69,96.93,58.53
36061019702,2901.0,1153.0,56.0,71.0,99.0,41.0,86.0,95.0,35.0,98.0,97.0,96.0,93.0,94.0,1,63.12,31.78,80.76,95.24000000000001,76.88000000000001
36061019800,2684.0,977.0,55.0,72.0,99.0,40.0,71.0,92.0,32.0,98.0,97.0,97.0,93.0,96.0,1,40.23,39.46,83.28,98.3,72.65
36061019900,9017.0,3219.0,56.0,70.0,99.0,42.0,99.0,98.0,36.0,97.0,97.0,97.0,93.0,93.0,1,42.699999999999996,8.58,56.67,90.59,52.019999999999996
36061020000,3123.0,1560.0,55.0,72.0,99.0,40.0,95.0,93.0,33.0,98.0,97.0,97.0,93.0,95.0,1,56.26,36.620000000000005,76.58,91.86,72.22
36061020101,1858.0,278.0,56.0,71.0,99.0,42.0,98.0,96.0,35.0,98.0,97.0,97.0,93.0,93.0,0,43.63,1.1900000000000002,64.24,79.60000000000001,34.42
36061020102,4028.0,1571.0,56.0,71.0,99.0,41.0,88.0,96.0,35.0,97.0,97.0,96.0,93.0,94.0,1,72.74000000000001,19.43,82.27,85.61,72.98
36061020300,3933.0,446.0,56.0,71.0,99.0,42.0,99.0,97.0,36.0,98.0,97.0,98.0,93.0,94.0,0,70.85000000000001,6.069999999999999,70.77,97.43,71.86
36061020500,5650.0,1292.0,56.0,70.0,99.0,42.0,99.0,98.0,36.0,97.0,97.0,98.0,93.0,94.0,0,16.71,7.04,56.84,93.21000000000001,37.84
36061020600,3839.0,1651.0,55.0,72.0,99.0,40.0,78.0,92.0,32.0,99.0,97.0,98.0,93.0,97.0,1,83.26,9.47,85.36,97.07000000000001,81.42
36061020701,2858.0,1106.0,56.0,71.0,99.0,42.0,99.0,96.0,35.0,99.0,97.0,98.0,93.0,93.0,0,60.99,0.5499999999999999,68.97999999999999,90.82000000000001,46.379999999999995
36061020800,5713.0,2251.0,55.0,72.0,99.0,40.0,88.0,93.0,33.0,98.0,97.0,97.0,93.0,96.0,1,63.33,14.02,81.82000000000001,95.09,72.09
36061020901,3388.0,1393.0,56.0,71.0,99.0,41.0,93.0,96.0,35.0,97.0,97.0,98.0,93.0,94.0,1,91.05,98.71,95.38,85.89,97.8
36061021000,7038.0,3514.0,55.0,72.0,99.0,40.0,82.0,92.0,32.0,98.0,97.0,99.0,92.0,98.0,1,84.41,98.31,96.43,74.37,94.24
36061021100,10110.0,4288.0,56.0,70.0,99.0,41.0,95.0,98.0,36.0,97.0,96.0,98.0,93.0,94.0,1,69.34,15.260000000000002,76.34,96.57,75.84
36061021200,4270.0,2427.0,55.0,72.0,99.0,40.0,75.0,92.0,33.0,98.0,97.0,98.0,93.0,97.0,1,69.71000000000001,66.51,90.32,95.48,86.99
36061021303,6539.0,2435.0,56.0,71.0,99.0,41.0,95.0,96.0,35.0,97.0,97.0,98.0,93.0,94.0,1,90.13,71.98,84.58,96.97,95.04
36061021400,3037.0,2109.0,55.0,72.0,99.0,40.0,80.0,92.0,32.0,98.0,97.0,99.0,93.0,97.0,1,75.14,13.58,89.78,63.53,64.86
36061021500,4193.0,1796.0,56.0,71.0,99.0,41.0,60.0,95.0,34.0,97.0,97.0,97.0,93.0,95.0,1,74.86,44.58,88.58,90.7,82.50999999999999
36061021600,9294.0,3182.0,55.0,71.0,99.0,41.0,89.0,95.0,34.0,97.0,97.0,95.0,93.0,94.0,1,80.76,30.409999999999997,83.39999999999999,96.87,85.6
36061021800,5756.0,2964.0,55.0,71.0,99.0,41.0,85.0,95.0,34.0,97.0,97.0,95.0,93.0,94.0,1,72.45,24.79,82.67999999999999,85.82,74.44
36061021900,6147.0,2194.0,56.0,70.0,99.0,41.0,87.0,97.0,36.0,97.0,96.0,98.0,93.0,94.0,1,96.54,90.92,93.4,90.75,97.8
36061022000,6369.0,2881.0,55.0,71.0,99.0,41.0,95.0,94.0,34.0,97.0,97.0,96.0,93.0,94.0,1,50.19,19.5,77.21000000000001,92.83,65.75999999999999
36061022102,2645.0,1259.0,56.0,71.0,99.0,40.0,89.0,95.0,34.0,97.0,97.0,97.0,93.0,95.0,0,37.93,2.75,82.88,53.73,30.19
36061022200,3350.0,1501.0,55.0,71.0,99.0,41.0,77.0,94.0,34.0,97.0,97.0,97.0,93.0,95.0,1,68.83,39.17,78.3,96.82,81.71000000000001
36061022301,7680.0,2658.0,57.0,70.0,99.0,41.0,98.0,98.0,36.0,96.0,96.0,98.0,96.0,94.0,1,90.12,56.44,86.78,98.98,95.06
36061022302,3036.0,1440.0,57.0,70.0,99.0,41.0,49.0,98.0,36.0,96.0,96.0,99.0,93.0,95.0,1,92.93,88.28,89.60000000000001,72.95,92.7
36061022400,7517.0,2788.0,55.0,71.0,99.0,40.0,88.0,94.0,34.0,98.0,97.0,97.0,93.0,95.0,1,92.14,93.74,92.31,97.59,98.59
36061022500,10647.0,3830.0,57.0,71.0,99.0,41.0,94.0,97.0,35.0,96.0,96.0,98.0,93.0,94.0,1,79.11,66.16,89.12,93.37,89.02
36061022600,5400.0,2096.0,56.0,72.0,99.0,40.0,86.0,94.0,34.0,98.0,97.0,97.0,93.0,95.0,1,82.47,64.03999999999999,84.68,93.87,89.8
36061022700,5156.0,2180.0,56.0,71.0,99.0,40.0,98.0,95.0,34.0,96.0,96.0,97.0,93.0,95.0,1,85.08,28.71,85.7,97.59,87.91
36061022800,6542.0,2773.0,56.0,71.0,99.0,40.0,92.0,93.0,33.0,98.0,97.0,97.0,96.0,96.0,1,61.12,65.57,90.32,96.74000000000001,84.76
