Tract,Is_DAC,Pollution_Score,Hazardprox_Score,Vulnerability_Percentile,Cumulative_Burden_Score,Weighted_Burden_Norm,Cluster
36047118400,1,68.33333333333333,74.8,78.5,73.87777777777778,0.2708829552232567,0.0
36047118600,1,68.0,73.8,86.82,76.20666666666666,0.20776650704453928,0.0
36047118800,1,67.66666666666667,71.0,81.35,73.33888888888889,0.2915394964057158,0.0
36047119000,1,68.16666666666667,72.4,97.75,79.43888888888888,0.11295020852940921,0.0
36047119200,1,68.66666666666667,70.6,81.05,73.43888888888888,0.2246185928461087,0.0
36047119400,1,67.83333333333333,69.2,89.92,75.6511111111111,0.3163527764056253,0.0
36047119600,1,68.16666666666667,69.6,83.12,73.62888888888888,0.32046358151666926,0.0
36047119800,1,69.83333333333333,74.6,96.51,80.31444444444445,0.23567277457457608,0.0
36047120000,1,67.83333333333333,69.8,84.86,74.16444444444444,0.16038006145055164,0.0
36047120200,1,67.83333333333333,72.8,63.79,68.1411111111111,0.10514205838998202,2.0
36047120801,1,68.0,70.0,73.82,70.60666666666667,0.285574128269876,0.0
36047120802,1,55.166666666666664,58.8,86.2,66.72222222222223,0.23051237995427243,2.0
36047120803,1,54.666666666666664,62.2,46.17,54.34555555555556,0.08079110325319112,2.0
36047121000,1,67.16666666666667,71.8,97.17,78.71222222222222,0.25118348591631107,0.0
36047121400,1,54.666666666666664,70.2,86.29,70.38555555555557,0.24933619385164024,2.0
36047122000,1,53.833333333333336,63.6,82.72,66.71777777777778,0.3660296828091227,2.0
36047123700,1,75.5,66.0,64.91,68.80333333333333,0.4953265421211139,3.0
36047150200,0,72.0,81.0,27.85,60.28333333333333,0.12540132982169325,3.0
36047152200,0,70.66666666666667,72.0,28.75,57.13888888888889,0.14833586247263733,3.0
36061000201,1,76.16666666666667,84.8,97.51,86.1588888888889,0.17502596117139996,0.0
36061000202,1,76.5,83.6,95.05,85.05,0.453708203887299,0.0
36061000600,1,76.66666666666667,81.2,98.03,85.2988888888889,0.6987703558478664,0.0
36061000700,0,75.33333333333333,87.0,14.34,58.89111111111111,0.38923456767245307,3.0
36061000800,1,76.5,86.4,96.04,86.31333333333333,0.5730438283553688,0.0
36061000900,0,75.16666666666667,85.4,19.29,59.95222222222222,0.08332443089438203,3.0
36061001001,1,76.5,83.2,22.99,60.89666666666667,0.07869762128761565,3.0
36061001002,1,76.5,82.6,99.16,86.08666666666666,0.3928551417586787,0.0
36061001200,1,76.5,83.4,78.25,79.38333333333334,0.25144997236205446,3.0
36061001300,0,75.5,89.2,15.46,60.053333333333335,0.2224359484884004,3.0
36061001401,0,76.5,79.8,52.96999999999999,69.75666666666667,0.16822931266476052,3.0
36061001402,1,76.5,81.8,92.64,83.64666666666666,0.20943942390912965,0.0
36061001501,1,76.16666666666667,81.0,66.63,74.5988888888889,0.43888238261567414,3.0
36061001502,0,76.0,82.6,33.64,64.08,0.42103977581276264,3.0
36061001600,1,76.5,81.2,89.68,82.46,0.48506827060728175,3.0
36061001800,1,76.33333333333333,84.4,82.67,81.13444444444445,0.4295436598109912,3.0
36061002000,1,76.66666666666667,81.8,96.45,84.97222222222223,0.3035983769997837,0.0
36061002100,0,76.66666666666667,82.2,8.0,55.62222222222223,0.30833552859096114,3.0
36061002201,1,76.5,77.2,90.24,81.31333333333333,0.41809894844746687,0.0
36061002202,1,76.5,81.4,52.44,70.11333333333333,0.13468390418616602,3.0
36061002400,1,76.5,77.4,98.28,84.06,0.2761274899562963,0.0
36061002500,1,76.33333333333333,86.6,99.78,87.57111111111112,0.3444459612879656,0.0
36061002601,1,76.5,81.0,91.87,83.12333333333333,0.2908486595233191,0.0
36061002602,1,76.66666666666667,80.8,71.44,76.30222222222223,0.21116661728882125,3.0
36061002700,0,76.33333333333333,79.0,94.31,83.21444444444444,0.07627927946133013,0.0
36061002800,1,76.66666666666667,71.2,86.16,78.00888888888889,0.3782827170033034,0.0
36061002901,1,76.16666666666667,75.0,92.77,81.31222222222222,0.06895936142533629,0.0
36061002902,1,76.33333333333333,85.8,91.37,84.50111111111111,0.25014721916305127,0.0
36061003001,0,76.5,84.2,43.41,68.03666666666666,0.20052647982588462,3.0
36061003002,1,76.83333333333333,83.8,75.47,78.7011111111111,0.18362351084971007,3.0
36061003100,0,76.33333333333333,81.2,52.17,69.9011111111111,0.14205264721045108,3.0
36061003200,0,76.66666666666667,83.2,55.95,71.93888888888888,0.41237945864833436,3.0
36061003300,0,76.66666666666667,86.8,13.98,59.148888888888884,0.2608208523171176,3.0
36061003400,0,76.66666666666667,81.4,36.4,64.82222222222222,0.3283158357694859,3.0
36061003601,1,76.33333333333333,82.2,85.34,81.2911111111111,0.18223339437248476,0.0
36061003602,0,76.5,83.6,77.4,79.16666666666667,0.20564189490513596,3.0
36061003700,0,76.5,85.2,14.23,58.643333333333324,0.15103499475855886,3.0
36061003800,1,76.83333333333333,85.8,65.25,75.96111111111111,0.474563608538429,3.0
36061003900,0,76.5,86.4,46.24,69.71333333333334,0.3683872162785086,3.0
36061004001,0,76.83333333333333,86.2,22.69,61.907777777777774,0.14316806227615614,3.0
36061004002,0,76.66666666666667,86.0,34.45,65.70555555555556,0.30375142444526393,3.0
36061004100,0,76.5,86.2,79.05,80.58333333333333,0.4329504339731984,3.0
36061004200,0,76.66666666666667,81.8,36.42,64.96222222222222,0.2595272513164087,3.0
36061004300,0,76.5,84.2,60.22,73.64,0.19605544893117544,3.0
36061004400,0,76.66666666666667,83.0,12.67,57.44555555555556,0.6979482039693895,3.0
36061004500,0,76.33333333333333,86.2,50.8,71.1111111111111,0.06643090536129474,3.0
36061004700,0,76.33333333333333,87.8,11.48,58.53777777777777,0.10999464451624032,3.0
36061004800,0,76.66666666666667,79.4,33.33,63.13222222222222,0.3084995629076036,3.0
36061004900,0,76.33333333333333,87.2,31.46,64.99777777777778,0.21410459147111502,3.0
36061005000,0,76.66666666666667,81.0,21.56,59.74222222222223,0.22269479060496722,3.0
36061005200,0,77.0,83.6,35.8,65.46666666666665,0.15603758126631395,3.0
36061005400,0,77.0,80.6,29.69,62.43,0.22419865933993655,3.0
36061005501,0,76.33333333333333,82.2,35.45,64.66111111111111,0.2457110953114197,3.0
36061005502,0,76.5,84.8,45.38,68.89333333333333,0.10068575652336943,3.0
36061005600,0,77.16666666666667,82.2,53.81,71.05888888888889,0.23385348857534216,3.0
36061005700,0,76.66666666666667,78.8,17.22,57.562222222222225,0.12969735307486718,3.0
36061005800,0,77.0,75.0,15.160000000000002,55.72,0.17989198265702275,3.0
36061005900,0,76.5,84.6,25.380000000000003,62.16,0.23687002011407654,3.0
36061006000,0,76.66666666666667,77.4,42.96,65.67555555555556,0.2817438122139728,3.0
36061006100,0,76.83333333333333,84.8,28.97,63.53444444444444,0.2526129136674675,3.0
36061006200,1,77.0,62.4,78.23,72.54333333333334,0.23404027385151854,3.0
36061006300,0,76.83333333333333,85.8,27.18,63.27111111111111,0.279576591977312,3.0
36061006400,0,76.83333333333333,79.2,46.27,67.43444444444445,0.3860445355146593,3.0
36061006500,0,76.5,87.0,35.260000000000005,66.25333333333333,0.3073439111884359,3.0
36061006600,0,77.0,74.8,38.04,63.28,0.5600514438546974,3.0
36061006700,0,76.5,88.0,27.250000000000004,63.916666666666664,0.24448942076825772,3.0
36061006800,0,77.0,81.4,28.7,62.36666666666667,0.3452473772144886,3.0
36061006900,0,76.66666666666667,88.0,16.96,60.54222222222223,0.11491436510722929,3.0
36061007001,0,77.16666666666667,67.8,18.93,54.632222222222225,0.16351687624218653,3.0
36061007002,0,77.0,71.8,28.01,58.93666666666667,0.16423010341469313,3.0
36061007100,0,77.0,85.0,20.13,60.71,0.23106701925709552,3.0
36061007200,0,77.0,76.4,12.32,55.24,0.2961147277449262,3.0
36061007300,0,76.66666666666667,89.0,22.0,62.555555555555564,0.2708855120816146,3.0
36061007400,0,77.0,78.8,29.41,61.73666666666667,0.23784415266931488,3.0
36061007500,0,76.66666666666667,86.6,26.83,63.365555555555545,0.17826134369937216,3.0
36061007600,0,77.33333333333333,81.6,61.91,73.61444444444444,0.1369780360346955,3.0
36061007700,0,77.16666666666667,87.6,18.91,61.22555555555555,0.26619919540645726,3.0
36061007800,0,77.0,69.6,20.69,55.76333333333333,0.3833910058981845,3.0
36061007900,0,77.0,87.8,19.97,61.59,0.1976230884228437,3.0
36061008000,0,77.0,75.2,21.51,57.90333333333333,0.2266498144640285,3.0
36061008100,0,77.0,84.8,24.41,62.07,0.313997832813629,3.0
36061008200,0,77.16666666666667,80.8,26.16,61.37555555555556,0.16606891382140737,3.0
36061008300,1,77.33333333333333,84.4,80.25,80.66111111111111,0.23343254079224524,3.0
36061008400,0,77.33333333333333,76.8,50.02,68.05111111111111,0.0824469475850708,3.0
36061008601,0,77.0,63.0,27.91,55.97,0.13335995022883865,3.0
36061008603,0,77.33333333333333,73.8,11.47,54.20111111111111,0.19679466970146448,3.0
36061008700,0,77.16666666666667,84.0,18.73,59.96555555555556,0.2802315718844861,3.0
36061008800,0,77.0,74.4,25.7,59.03333333333333,0.33696076860503316,3.0
36061008900,0,77.33333333333333,85.6,62.82,75.25111111111111,0.36204264657543583,3.0
36061009000,0,77.33333333333333,70.8,52.93,67.02111111111111,0.3547734889509802,3.0
36061009100,0,77.16666666666667,81.2,42.74,67.03555555555556,0.339883628537193,3.0
36061009200,0,77.16666666666667,72.8,27.58,59.18222222222223,0.06475718249367239,3.0
36061009300,0,77.33333333333333,85.0,65.72,76.01777777777777,0.5579225053754897,3.0
36061009400,0,77.16666666666667,73.4,5.390000000000001,51.98555555555555,0.003525453028820375,3.0
36061009500,0,77.16666666666667,79.0,30.97,62.378888888888895,0.152908255021757,3.0
36061009600,1,77.16666666666667,68.0,49.55,64.90555555555557,0.01533154076227073,3.0
36061009700,1,77.16666666666667,78.2,70.03,75.13222222222223,0.26134202556127534,3.0
36061009800,0,77.16666666666667,72.4,50.33,66.63222222222221,0.4120676988768201,3.0
36061009901,1,77.16666666666667,78.0,12.4,55.85555555555556,0.07660923356599356,3.0
36061009902,1,77.33333333333333,75.2,25.16,59.23111111111111,0.13797091832013023,3.0
36061009903,1,77.5,73.0,54.87,68.45666666666666,0.04778080459008837,3.0
36061010000,0,77.33333333333333,76.2,30.11,61.21444444444444,0.07630964765750169,3.0
36061010100,0,77.33333333333333,67.8,63.56,69.56444444444445,0.09668395146941955,3.0
36061010200,0,77.33333333333333,72.0,50.23,66.5211111111111,0.012317086882612554,3.0
36061010300,0,77.16666666666667,76.6,36.78,63.51555555555555,0.12815640566049968,3.0
36061010400,0,77.5,73.6,28.8,59.96666666666667,0.0338587057516908,3.0
36061010601,0,77.33333333333333,74.4,14.26,55.33111111111111,0.3105584443144476,3.0
36061010602,0,77.5,71.6,33.900000000000006,61.0,0.23203134008004603,3.0
36061010801,0,77.33333333333333,71.6,24.74,57.891111111111115,0.13956952373710932,3.0
36061010802,0,77.16666666666667,73.8,30.71,60.558888888888895,0.2008209520176608,3.0
36061010803,0,77.16666666666667,67.4,18.18,54.24888888888889,0.07754716371613847,3.0
36061010900,1,77.33333333333333,81.2,42.44,66.99111111111111,0.010719603266071938,3.0
36061011000,0,77.33333333333333,71.6,27.97,58.967777777777776,0.32813933888495345,3.0
36061011100,0,77.5,78.8,62.53999999999999,72.94666666666667,0.27230469377321914,3.0
36061011201,0,77.5,72.6,26.92,59.00666666666666,0.0420842088329608,3.0
36061011202,0,77.33333333333333,72.4,6.45,52.06111111111111,0.01935866887366552,3.0
36061011203,0,77.0,72.2,14.08,54.42666666666667,0.044623768604738545,3.0
36061011300,0,77.66666666666667,72.6,93.3,81.18888888888888,0.008475384340598538,0.0
36061011401,0,77.0,75.2,37.44,63.21333333333333,0.051346179321606816,3.0
36061011402,0,77.33333333333333,74.4,31.93,61.22111111111112,0.11060506058350576,3.0
36061011500,0,77.5,75.8,57.4,70.23333333333333,0.18596890178182174,3.0
36061011600,0,77.33333333333333,74.2,40.65,64.06111111111112,0.17460458498753179,3.0
36061011700,1,77.33333333333333,70.0,34.73,60.68777777777777,0.23079746881453192,3.0
36061011800,0,77.5,72.6,32.79,60.96333333333333,0.44176515659661875,3.0
36061011900,1,77.5,83.2,89.5,83.39999999999999,0.06609089399820982,0.0
36061012000,0,77.33333333333333,73.4,32.6,61.111111111111114,0.13936994654936707,3.0
36061012101,1,77.66666666666667,80.8,81.37,79.94555555555556,0.17282075465528807,3.0
36061012102,1,77.5,79.6,86.17,81.08999999999999,0.31197149039263516,3.0
36061012200,0,77.0,76.4,6.710000000000001,53.370000000000005,0.10605887752583783,3.0
36061012400,0,77.16666666666667,69.4,45.16,63.90888888888889,0.4784981504380885,3.0
36061012500,0,77.5,73.4,45.42,65.44,0.12406117875931809,3.0
36061012601,0,77.33333333333333,70.0,16.08,54.4711111111111,0.30784829298497385,3.0
36061012602,0,77.33333333333333,71.8,13.5,54.21111111111111,0.19340244253935804,3.0
36061012700,0,77.5,84.0,41.66,67.72,0.36595519187344117,3.0
36061012800,0,77.5,73.8,23.96,58.42000000000001,0.2265354847965494,3.0
36061012901,1,77.66666666666667,76.2,31.2,61.68888888888889,0.3539518289714125,3.0
36061012902,1,77.66666666666667,84.0,57.47,73.04555555555557,0.13079884088229848,3.0
36061013000,0,77.16666666666667,81.8,39.71,66.22555555555556,0.18327941359310362,3.0
36061013100,0,77.5,76.4,61.99,71.96333333333334,0.1654903763593567,3.0
36061013201,0,77.16666666666667,68.4,29.4,58.32222222222222,0.10105708347484527,3.0
36061013202,0,77.5,72.6,43.59,64.56333333333333,0.16042756059772084,3.0
36061013203,0,77.33333333333333,73.0,38.61,62.98111111111111,0.20525408299038664,3.0
36061013300,0,77.5,80.4,52.0,69.96666666666667,0.33608538327420234,3.0
36061013400,0,77.33333333333333,72.4,30.320000000000004,60.01777777777778,0.5207526257182786,3.0
36061013501,1,77.5,73.4,47.620000000000005,66.17333333333333,0.2303808659973597,3.0
36061013502,1,77.33333333333333,72.6,88.87,79.60111111111111,0.33923932139705826,3.0
36061013601,0,73.0,73.2,15.36,53.85333333333333,0.07066233322861727,
36061013602,0,74.66666666666667,67.0,36.71,59.4588888888889,0.2782715697781767,3.0
36061013603,0,77.33333333333333,69.6,20.49,55.80777777777778,0.16741808923915882,3.0
36061013604,0,76.83333333333333,74.2,9.31,53.44777777777778,0.13989385275338542,3.0
36061013700,0,77.5,79.8,46.96,68.08666666666667,0.34619870123854796,3.0
36061013800,0,77.33333333333333,72.2,37.48,62.337777777777774,0.6092349206205034,3.0
36061013900,0,77.33333333333333,80.6,62.23,73.38777777777777,0.5375015685310054,3.0
36061014000,0,77.5,75.4,24.06,58.98666666666667,0.33651461036785607,3.0
36061014200,0,77.5,81.8,33.89,64.39666666666666,0.20873876513474307,3.0
36061014401,0,76.83333333333333,74.0,11.58,54.13777777777778,0.1862105215100721,3.0
36061014402,0,77.0,70.6,31.35,59.65,0.3064371628572711,3.0
36061014500,0,77.16666666666667,74.6,47.16,66.30888888888889,0.3344814033748207,3.0
36061014601,0,77.5,72.2,40.85,63.51666666666666,0.179315630377562,3.0
36061014602,0,77.16666666666667,71.4,32.15,60.23888888888889,0.3870804966302147,3.0
36061014700,0,77.0,73.0,19.73,56.57666666666666,0.12639897700740546,3.0
36061014801,0,77.5,76.8,25.36,59.88666666666668,0.13425023222285046,3.0
36061014802,0,77.0,78.8,45.33,67.04333333333334,0.3245463212973476,3.0
36061014900,0,77.16666666666667,76.2,43.54,65.63555555555556,0.28912415169154515,3.0
36061015001,0,77.5,83.0,11.79,57.43,0.08629546305397413,3.0
36061015002,0,77.5,81.6,14.93,58.01,0.2028002617911394,3.0
36061015101,1,77.33333333333333,83.0,81.08,80.4711111111111,0.17082968756657246,0.0
36061015102,1,77.33333333333333,68.4,56.42,67.38444444444445,0.41903014440841374,3.0
36061015200,1,76.83333333333333,69.6,72.14,72.85777777777777,0.4365778142131786,3.0
36061015301,0,77.0,82.6,31.630000000000003,63.74333333333333,0.2255637042123435,3.0
36061015302,0,77.33333333333333,77.6,41.79,65.57444444444444,0.26866858804243227,3.0
36061015401,0,77.0,74.0,38.14,63.04666666666666,0.22415534599002598,3.0
36061015402,0,76.83333333333333,71.4,28.77,59.00111111111112,0.1752894030930854,3.0
36061015403,0,76.83333333333333,62.8,65.27,68.3011111111111,0.2540263762934405,3.0
36061015501,0,77.33333333333333,74.4,16.43,56.05444444444445,0.21714899869244292,3.0
36061015502,0,77.5,72.0,39.37,62.95666666666667,0.24786911932441066,3.0
36061015601,0,76.5,68.4,56.02,66.97333333333334,0.24898602363311292,3.0
36061015602,1,76.66666666666667,71.6,71.50999999999999,73.25888888888888,0.12347745984920444,0.0
36061015700,0,77.16666666666667,83.2,31.790000000000003,64.05222222222223,0.505243461191186,3.0
36061015801,0,76.83333333333333,80.6,31.72,63.05111111111111,0.23536529203763926,3.0
36061015802,0,76.5,75.0,63.8,71.76666666666667,0.2085123663334985,3.0
36061015900,0,77.66666666666667,82.4,29.270000000000003,63.11222222222222,0.43305137907982344,3.0
36061016001,0,77.16666666666667,83.0,17.83,59.33222222222222,0.13038514289328043,3.0
36061016002,0,76.5,83.0,65.19,74.89666666666666,0.1854761562307375,3.0
36061016100,0,76.83333333333333,83.8,28.43,63.02111111111111,0.3014738198920999,3.0
36061016200,1,76.5,67.4,97.36,80.42,0.5524233617350852,0.0
36061016300,0,77.66666666666667,83.8,49.86,70.44222222222221,0.37513736636863404,3.0
36061016400,1,76.5,67.8,97.01,80.43666666666667,0.47892742663696897,0.0
36061016500,0,77.16666666666667,84.0,43.34,68.1688888888889,0.3769515860630955,3.0
36061016600,1,76.5,79.4,89.55,81.81666666666666,0.3688180638446448,0.0
36061016700,0,77.33333333333333,82.8,13.41,57.84777777777777,0.3171904269096317,3.0
36061016800,1,76.33333333333333,78.6,98.81,84.58111111111111,0.2954982835877575,0.0
36061016900,0,77.66666666666667,83.4,39.93,66.99888888888889,0.40892376721387524,3.0
36061017000,1,76.5,70.4,97.38,81.42666666666666,0.5309836827767944,0.0
36061017100,0,77.33333333333333,83.4,29.360000000000003,63.36444444444445,0.4441970760180981,3.0
36061017200,1,76.83333333333333,77.0,94.69,82.8411111111111,0.3361303780548077,0.0
36061017300,0,78.0,82.6,68.03,76.21,0.5024243843091,3.0
36061017401,1,76.5,78.8,96.82,84.04,0.3527136051201972,0.0
36061017402,1,76.33333333333333,65.6,76.85,72.92777777777778,0.1405348537571335,0.0
36061017500,0,77.33333333333333,84.4,53.71,71.81444444444445,0.5540501459324367,3.0
